lead_id,created_date,segment,region,source,industry,became_opportunity,opportunity_date,closed_won,close_date,deal_value_eur,sales_rep
L1050,2024-05-12,SMB,AMER,Outbound,Manufacturing,False,,False,,,Rep_9
L1051,2023-05-09,SMB,EMEA,Inbound,Healthcare,True,2023-05-29,False,2023-08-09,,Rep_5
L1052,2024-06-24,Mid-Market,EMEA,Partner,Healthcare,False,,False,,,Rep_7
L1053,2023-08-05,Mid-Market,APAC,Outbound,Manufacturing,False,,False,,,Rep_12
L1054,2024-12-07,SMB,APAC,Event,Public Sector,False,,False,,,Rep_5
L1055,2024-02-13,SMB,APAC,Outbound,Public Sector,False,,False,,,Rep_11
L1056,2024-01-18,SMB,EMEA,Inbound,Professional Services,False,,False,,,Rep_9
L1057,2024-04-07,SMB,AMER,Outbound,Manufacturing,True,2024-04-19,True,2024-05-24,13000.0,Rep_10
L1058,2024-07-21,Mid-Market,EMEA,Event,Healthcare,True,2024-08-02,True,2024-09-16,19000.0,Rep_4
L1059,2023-03-11,SMB,APAC,Partner,Public Sector,False,,False,,,Rep_6
L1060,2023-03-14,Mid-Market,APAC,Event,Manufacturing,False,,False,,,Rep_5
L1061,2024-11-16,SMB,AMER,Event,Public Sector,False,,False,,,Rep_9
L1062,2023-05-16,SMB,APAC,Inbound,Healthcare,False,,False,,,Rep_10
L1063,2024-08-13,SMB,AMER,Partner,Public Sector,False,,False,,,Rep_8
L1064,2024-02-21,SMB,EMEA,Outbound,Professional Services,False,,False,,,Rep_2
L1065,2024-11-05,Mid-Market,APAC,Event,Education,False,,False,,,Rep_7
L1066,2024-02-25,Mid-Market,EMEA,Event,Public Sector,False,,False,,,Rep_12
L1067,2023-02-25,Mid-Market,APAC,Partner,Public Sector,False,,False,,,Rep_11
L1068,2023-04-11,Mid-Market,APAC,Partner,Education,True,2023-05-09,True,2023-07-05,47000.0,Rep_4
L1069,2023-07-16,Mid-Market,EMEA,Outbound,Public Sector,True,2023-08-04,True,2023-10-19,43000.0,Rep_5
L1070,2024-04-18,SMB,EMEA,Inbound,Healthcare,False,,False,,,Rep_2
L1071,2024-03-29,SMB,APAC,Event,Manufacturing,False,,False,,,Rep_9
L1072,2023-04-11,SMB,EMEA,Event,Healthcare,True,2023-05-03,False,2023-06-25,,Rep_4
L1073,2023-06-20,Mid-Market,AMER,Inbound,Manufacturing,False,,False,,,Rep_8
L1074,2023-08-07,SMB,EMEA,Event,Education,False,,False,,,Rep_1
L1075,2023-06-18,Mid-Market,EMEA,Partner,Manufacturing,False,,False,,,Rep_7
L1076,2023-09-29,SMB,APAC,Inbound,Education,False,,False,,,Rep_8
L1077,2023-10-20,Enterprise,EMEA,Event,Manufacturing,False,,False,,,Rep_12
L1078,2024-07-23,Enterprise,EMEA,Outbound,Professional Services,False,,False,,,Rep_8
L1079,2023-06-08,SMB,AMER,Event,Professional Services,False,,False,,,Rep_4
L1080,2023-03-01,SMB,AMER,Partner,Professional Services,False,,False,,,Rep_9
L1081,2023-03-04,Mid-Market,AMER,Outbound,Professional Services,False,,False,,,Rep_1
L1082,2023-02-21,SMB,EMEA,Inbound,Manufacturing,False,,False,,,Rep_9
L1083,2024-06-27,SMB,APAC,Inbound,Professional Services,False,,False,,,Rep_9
L1084,2023-03-24,SMB,APAC,Outbound,Public Sector,False,,False,,,Rep_2
L1085,2024-09-01,SMB,AMER,Partner,Public Sector,True,2024-09-13,False,2025-03-07,,Rep_4
L1086,2024-08-15,SMB,EMEA,Event,Healthcare,False,,False,,,Rep_10
L1087,2023-03-25,SMB,APAC,Event,Professional Services,False,,False,,,Rep_10
L1088,2024-08-01,Enterprise,APAC,Partner,Manufacturing,False,,False,,,Rep_5
L1089,2023-07-29,Mid-Market,APAC,Outbound,Education,False,,False,,,Rep_6
L1090,2023-09-02,SMB,AMER,Outbound,Public Sector,False,,False,,,Rep_3
L1091,2024-11-18,Enterprise,AMER,Partner,Manufacturing,False,,False,,,Rep_8
L1092,2023-11-20,Enterprise,EMEA,Event,Education,False,,False,,,Rep_2
L1093,2023-01-10,Mid-Market,EMEA,Partner,Healthcare,False,,False,,,Rep_10
L1094,2023-04-13,SMB,AMER,Partner,Manufacturing,True,2023-04-24,False,2023-06-26,,Rep_6
L1095,2023-03-12,SMB,EMEA,Outbound,Healthcare,False,,False,,,Rep_6
L1096,2023-10-19,SMB,APAC,Inbound,Manufacturing,False,,False,,,Rep_9
L1097,2024-12-21,Mid-Market,APAC,Outbound,Education,False,,False,,,Rep_11
L1098,2024-06-25,Enterprise,AMER,Partner,Public Sector,True,2024-07-17,True,2024-09-11,155000.0,Rep_3
L1099,2023-09-28,SMB,EMEA,Outbound,Professional Services,True,2023-10-06,False,2023-12-14,,Rep_5
L1100,2023-10-16,Enterprise,AMER,Event,Public Sector,False,,False,,,Rep_12
L1101,2023-12-18,SMB,EMEA,Inbound,Education,False,,False,,,Rep_11
L1102,2023-09-28,SMB,APAC,Inbound,Education,False,,False,,,Rep_5
L1103,2023-02-22,Mid-Market,AMER,Event,Manufacturing,True,2023-03-12,False,2023-04-22,,Rep_1
L1104,2023-12-08,SMB,EMEA,Inbound,Healthcare,False,,False,,,Rep_11
L1105,2023-09-26,Enterprise,EMEA,Outbound,Healthcare,True,2023-10-15,False,2024-03-02,,Rep_9
L1106,2023-01-10,Enterprise,AMER,Outbound,Education,True,2023-02-06,False,2023-07-25,,Rep_1
L1107,2024-01-14,Mid-Market,EMEA,Outbound,Education,False,,False,,,Rep_3
L1108,2024-03-16,Mid-Market,AMER,Event,Professional Services,True,2024-03-30,True,2024-05-09,68000.0,Rep_6
L1109,2023-08-04,SMB,AMER,Event,Public Sector,False,,False,,,Rep_11
L1110,2023-04-16,Mid-Market,EMEA,Event,Professional Services,False,,False,,,Rep_9
L1111,2024-02-21,Enterprise,APAC,Event,Healthcare,False,,False,,,Rep_12
L1112,2023-06-08,Mid-Market,EMEA,Inbound,Education,False,,False,,,Rep_4
L1113,2023-06-16,Mid-Market,EMEA,Event,Manufacturing,False,,False,,,Rep_3
L1114,2024-02-27,SMB,AMER,Partner,Healthcare,True,2024-03-26,False,2024-08-08,,Rep_11
L1115,2023-09-12,Mid-Market,APAC,Outbound,Professional Services,True,2023-10-12,False,2024-02-16,,Rep_1
L1116,2024-04-26,Enterprise,AMER,Partner,Public Sector,True,2024-05-15,True,2024-08-11,173000.0,Rep_4
L1117,2023-01-25,SMB,EMEA,Outbound,Professional Services,False,,False,,,Rep_7
L1118,2023-12-03,Enterprise,AMER,Partner,Public Sector,True,2023-12-10,False,2024-03-20,,Rep_6
L1119,2024-10-18,Mid-Market,AMER,Inbound,Professional Services,False,,False,,,Rep_11
L1120,2024-07-03,SMB,EMEA,Event,Healthcare,False,,False,,,Rep_1
L1121,2023-04-29,Mid-Market,EMEA,Inbound,Healthcare,False,,False,,,Rep_5
L1122,2023-07-02,Enterprise,EMEA,Event,Manufacturing,False,,False,,,Rep_5
L1123,2023-02-09,SMB,AMER,Inbound,Education,True,2023-02-27,False,2023-06-17,,Rep_7
L1124,2024-09-12,Mid-Market,APAC,Inbound,Public Sector,False,,False,,,Rep_2
L1125,2024-01-30,Mid-Market,AMER,Inbound,Public Sector,False,,False,,,Rep_4
L1126,2023-09-18,Mid-Market,APAC,Partner,Public Sector,True,2023-10-06,True,2024-03-21,37000.0,Rep_11
L1127,2024-11-17,Enterprise,EMEA,Inbound,Manufacturing,True,2024-12-05,True,2025-03-29,158000.0,Rep_10
L1128,2023-11-18,Enterprise,APAC,Event,Healthcare,False,,False,,,Rep_2
L1129,2023-11-04,SMB,APAC,Event,Education,False,,False,,,Rep_11
L1130,2024-02-23,Enterprise,EMEA,Event,Education,True,2024-03-21,True,2024-05-22,165000.0,Rep_4
L1131,2024-03-06,SMB,EMEA,Partner,Education,False,,False,,,Rep_7
L1132,2024-11-24,SMB,AMER,Partner,Professional Services,False,,False,,,Rep_3
L1133,2024-09-22,Mid-Market,APAC,Inbound,Manufacturing,False,,False,,,Rep_7
L1134,2024-07-15,SMB,APAC,Event,Public Sector,False,,False,,,Rep_5
L1135,2023-10-21,SMB,EMEA,Inbound,Education,False,,False,,,Rep_10
L1136,2024-09-13,Mid-Market,EMEA,Outbound,Manufacturing,False,,False,,,Rep_8
L1137,2024-03-28,SMB,EMEA,Inbound,Education,False,,False,,,Rep_4
L1138,2024-06-07,Mid-Market,EMEA,Inbound,Healthcare,False,,False,,,Rep_12
L1139,2023-06-23,Mid-Market,APAC,Inbound,Education,False,,False,,,Rep_5
L1140,2024-06-11,SMB,AMER,Event,Manufacturing,False,,False,,,Rep_10
L1141,2023-12-10,SMB,AMER,Partner,Manufacturing,True,2024-01-08,True,2024-04-26,21000.0,Rep_4
L1142,2023-07-23,Mid-Market,EMEA,Inbound,Professional Services,True,2023-07-29,True,2023-12-27,34000.0,Rep_10
L1143,2023-03-16,Mid-Market,AMER,Event,Healthcare,False,,False,,,Rep_11
L1144,2024-08-12,SMB,APAC,Inbound,Public Sector,False,,False,,,Rep_12
L1145,2024-01-29,SMB,AMER,Inbound,Healthcare,False,,False,,,Rep_4
L1146,2023-06-01,Mid-Market,EMEA,Outbound,Education,False,,False,,,Rep_1
L1147,2023-04-20,SMB,EMEA,Event,Education,False,,False,,,Rep_4
L1148,2023-06-30,Enterprise,EMEA,Event,Education,False,,False,,,Rep_12
L1149,2024-06-14,SMB,EMEA,Event,Manufacturing,False,,False,,,Rep_9
L1150,2023-09-13,SMB,EMEA,Outbound,Public Sector,False,,False,,,Rep_2
L1151,2024-04-12,Mid-Market,APAC,Partner,Public Sector,True,2024-05-01,False,2024-10-21,,Rep_10
L1152,2023-11-21,SMB,AMER,Partner,Public Sector,False,,False,,,Rep_8
L1153,2024-09-19,SMB,AMER,Event,Healthcare,False,,False,,,Rep_9
L1154,2024-03-12,Enterprise,EMEA,Event,Professional Services,False,,False,,,Rep_9
L1155,2024-04-01,Enterprise,AMER,Event,Professional Services,False,,False,,,Rep_12
L1156,2024-05-01,Mid-Market,EMEA,Inbound,Healthcare,False,,False,,,Rep_4
L1157,2024-10-14,SMB,AMER,Partner,Public Sector,False,,False,,,Rep_9
L1158,2024-05-11,Mid-Market,EMEA,Event,Education,False,,False,,,Rep_5
L1159,2024-03-26,SMB,EMEA,Inbound,Manufacturing,True,2024-04-09,True,2024-08-02,5000.0,Rep_6
L1160,2024-07-07,SMB,AMER,Outbound,Manufacturing,True,2024-07-16,True,2024-09-23,7000.0,Rep_12
L1161,2023-08-08,Enterprise,APAC,Event,Public Sector,True,2023-08-26,True,2024-01-22,193000.0,Rep_7
L1162,2023-03-05,SMB,AMER,Event,Public Sector,False,,False,,,Rep_7
L1163,2024-02-03,Mid-Market,AMER,Partner,Public Sector,False,,False,,,Rep_10
L1164,2024-12-13,SMB,APAC,Inbound,Education,True,2025-01-11,False,2025-06-12,,Rep_1
L1165,2023-12-27,Enterprise,EMEA,Partner,Public Sector,True,2024-01-13,False,2024-05-29,,Rep_9
L1166,2024-07-13,Enterprise,APAC,Outbound,Healthcare,False,,False,,,Rep_4
L1167,2024-05-14,SMB,APAC,Inbound,Manufacturing,False,,False,,,Rep_7
L1168,2024-05-12,SMB,EMEA,Inbound,Education,True,2024-05-27,False,2024-10-07,,Rep_12
L1169,2023-06-19,SMB,APAC,Inbound,Education,False,,False,,,Rep_3
L1170,2024-09-29,Mid-Market,AMER,Inbound,Manufacturing,False,,False,,,Rep_7
L1171,2024-08-29,Mid-Market,AMER,Inbound,Public Sector,False,,False,,,Rep_1
L1172,2023-03-27,SMB,AMER,Event,Professional Services,False,,False,,,Rep_3
L1173,2024-04-17,Mid-Market,AMER,Event,Public Sector,True,2024-04-30,True,2024-07-23,64000.0,Rep_8
L1174,2023-12-01,SMB,EMEA,Outbound,Manufacturing,False,,False,,,Rep_7
L1175,2023-10-12,Mid-Market,APAC,Partner,Education,False,,False,,,Rep_7
L1176,2023-09-16,SMB,AMER,Partner,Manufacturing,False,,False,,,Rep_8
L1177,2023-01-20,SMB,AMER,Outbound,Professional Services,False,,False,,,Rep_1
L1178,2023-12-25,SMB,AMER,Partner,Manufacturing,False,,False,,,Rep_2
L1179,2024-10-29,Enterprise,AMER,Event,Public Sector,True,2024-11-03,False,2025-01-23,,Rep_1
L1180,2024-09-28,Mid-Market,APAC,Event,Professional Services,True,2024-10-07,False,2024-12-05,,Rep_10
L1181,2023-08-12,SMB,EMEA,Inbound,Healthcare,False,,False,,,Rep_5
L1182,2024-01-13,Mid-Market,EMEA,Outbound,Public Sector,True,2024-02-06,False,2024-04-05,,Rep_3
L1183,2023-11-15,Mid-Market,EMEA,Outbound,Education,True,2023-11-20,False,2024-05-15,,Rep_11
L1184,2024-01-20,Mid-Market,AMER,Partner,Manufacturing,False,,False,,,Rep_12
L1185,2023-07-23,Mid-Market,APAC,Partner,Public Sector,True,2023-08-19,False,2023-11-19,,Rep_2
L1186,2024-12-14,Mid-Market,APAC,Partner,Healthcare,False,,False,,,Rep_11
L1187,2024-09-06,Enterprise,EMEA,Partner,Manufacturing,False,,False,,,Rep_10
L1188,2023-02-12,Mid-Market,AMER,Inbound,Professional Services,False,,False,,,Rep_7
L1189,2024-11-08,Mid-Market,EMEA,Inbound,Professional Services,False,,False,,,Rep_9
L1190,2024-10-25,Mid-Market,EMEA,Outbound,Education,False,,False,,,Rep_7
L1191,2024-05-16,Mid-Market,EMEA,Inbound,Healthcare,True,2024-06-01,False,2024-10-26,,Rep_12
L1192,2023-06-06,Mid-Market,AMER,Inbound,Professional Services,False,,False,,,Rep_12
L1193,2024-06-18,SMB,EMEA,Outbound,Public Sector,False,,False,,,Rep_5
L1194,2024-09-22,Mid-Market,AMER,Partner,Manufacturing,False,,False,,,Rep_9
L1195,2024-05-10,SMB,EMEA,Inbound,Professional Services,False,,False,,,Rep_12
L1196,2024-08-29,SMB,EMEA,Partner,Education,False,,False,,,Rep_4
L1197,2023-03-30,SMB,APAC,Partner,Professional Services,False,,False,,,Rep_8
L1198,2023-09-07,SMB,AMER,Event,Professional Services,False,,False,,,Rep_10
L1199,2024-09-16,SMB,AMER,Partner,Manufacturing,False,,False,,,Rep_6
L1200,2023-01-30,SMB,APAC,Partner,Manufacturing,False,,False,,,Rep_6
L1201,2023-07-06,Mid-Market,EMEA,Outbound,Professional Services,False,,False,,,Rep_6
L1202,2023-09-22,Mid-Market,APAC,Partner,Public Sector,False,,False,,,Rep_10
L1203,2024-12-19,SMB,AMER,Partner,Public Sector,False,,False,,,Rep_9
L1204,2023-01-11,SMB,AMER,Outbound,Healthcare,False,,False,,,Rep_4
L1205,2023-03-29,Mid-Market,EMEA,Event,Public Sector,True,2023-04-16,False,2023-07-16,,Rep_12
L1206,2024-05-02,SMB,APAC,Inbound,Education,False,,False,,,Rep_8
L1207,2024-04-03,Mid-Market,APAC,Outbound,Professional Services,False,,False,,,Rep_2
L1208,2023-10-29,SMB,EMEA,Event,Manufacturing,False,,False,,,Rep_12
L1209,2023-09-07,Mid-Market,EMEA,Outbound,Healthcare,False,,False,,,Rep_10
L1210,2024-01-13,SMB,AMER,Partner,Manufacturing,False,,False,,,Rep_9
L1211,2023-12-19,SMB,EMEA,Inbound,Public Sector,False,,False,,,Rep_12
L1212,2024-07-17,Enterprise,EMEA,Outbound,Healthcare,True,2024-08-13,True,2024-11-29,116000.0,Rep_5
L1213,2023-08-25,SMB,AMER,Outbound,Public Sector,True,2023-09-05,False,2024-02-19,,Rep_12
L1214,2023-07-09,Enterprise,APAC,Outbound,Professional Services,True,2023-08-06,True,2024-02-02,20000.0,Rep_9
L1215,2024-09-03,SMB,APAC,Event,Public Sector,False,,False,,,Rep_2
L1216,2023-07-18,Mid-Market,AMER,Partner,Public Sector,False,,False,,,Rep_6
L1217,2023-07-03,SMB,APAC,Event,Professional Services,False,,False,,,Rep_12
L1218,2024-06-30,Mid-Market,EMEA,Outbound,Professional Services,True,2024-07-06,False,2024-12-24,,Rep_5
L1219,2024-12-15,Mid-Market,APAC,Event,Public Sector,False,,False,,,Rep_11
L1220,2024-05-17,SMB,APAC,Inbound,Professional Services,True,2024-05-22,False,2024-10-19,,Rep_8
L1221,2024-03-27,SMB,AMER,Inbound,Manufacturing,False,,False,,,Rep_1
L1222,2023-09-16,SMB,EMEA,Partner,Manufacturing,False,,False,,,Rep_8
L1223,2023-04-27,Enterprise,AMER,Event,Professional Services,False,,False,,,Rep_7
L1224,2024-05-18,Mid-Market,AMER,Event,Professional Services,True,2024-06-12,False,2024-08-19,,Rep_3
L1225,2024-07-30,Mid-Market,AMER,Event,Public Sector,False,,False,,,Rep_2
L1226,2023-09-12,Enterprise,EMEA,Inbound,Public Sector,True,2023-10-11,True,2024-01-06,147000.0,Rep_9
L1227,2024-01-25,SMB,AMER,Partner,Manufacturing,False,,False,,,Rep_8
L1228,2023-11-01,Mid-Market,EMEA,Inbound,Healthcare,False,,False,,,Rep_7
L1229,2023-11-09,SMB,AMER,Inbound,Manufacturing,False,,False,,,Rep_1
L1230,2024-09-16,SMB,APAC,Partner,Public Sector,False,,False,,,Rep_2
L1231,2023-08-01,SMB,AMER,Event,Education,False,,False,,,Rep_5
L1232,2024-11-07,Enterprise,AMER,Partner,Education,True,2024-11-19,True,2025-01-07,96000.0,Rep_3
L1233,2023-01-03,Enterprise,APAC,Partner,Professional Services,False,,False,,,Rep_12
L1234,2024-08-31,SMB,EMEA,Inbound,Professional Services,False,,False,,,Rep_1
L1235,2023-08-26,Mid-Market,APAC,Event,Manufacturing,False,,False,,,Rep_5
L1236,2024-12-20,SMB,EMEA,Partner,Public Sector,False,,False,,,Rep_2
L1237,2024-12-04,Mid-Market,EMEA,Partner,Professional Services,True,2024-12-17,False,2025-06-15,,Rep_11
L1238,2023-07-22,Mid-Market,APAC,Partner,Manufacturing,False,,False,,,Rep_9
L1239,2023-08-19,Mid-Market,APAC,Partner,Manufacturing,False,,False,,,Rep_5
L1240,2023-05-26,Mid-Market,APAC,Partner,Education,True,2023-06-05,False,2023-11-27,,Rep_5
L1241,2024-03-25,Mid-Market,AMER,Partner,Manufacturing,True,2024-04-21,True,2024-09-01,54000.0,Rep_5
L1242,2024-05-27,SMB,AMER,Inbound,Public Sector,False,,False,,,Rep_8
L1243,2023-03-24,SMB,APAC,Partner,Public Sector,False,,False,,,Rep_7
L1244,2023-11-27,Enterprise,AMER,Outbound,Professional Services,False,,False,,,Rep_1
L1245,2023-04-04,Mid-Market,AMER,Inbound,Education,True,2023-04-30,False,2023-10-24,,Rep_10
L1246,2023-01-22,Enterprise,EMEA,Event,Healthcare,False,,False,,,Rep_11
L1247,2023-10-03,Mid-Market,EMEA,Event,Education,False,,False,,,Rep_3
L1248,2024-04-26,Mid-Market,EMEA,Outbound,Manufacturing,False,,False,,,Rep_8
L1249,2023-10-12,SMB,APAC,Event,Healthcare,False,,False,,,Rep_10
L1250,2024-03-22,SMB,APAC,Inbound,Healthcare,False,,False,,,Rep_8
L1251,2023-04-04,Enterprise,AMER,Event,Professional Services,False,,False,,,Rep_7
L1252,2023-12-08,SMB,AMER,Inbound,Professional Services,False,,False,,,Rep_2
L1253,2023-06-14,SMB,APAC,Event,Healthcare,False,,False,,,Rep_12
L1254,2024-05-22,SMB,EMEA,Event,Education,False,,False,,,Rep_7
L1255,2024-07-17,SMB,AMER,Inbound,Healthcare,True,2024-07-24,False,2024-11-13,,Rep_2
L1256,2024-02-18,Mid-Market,EMEA,Outbound,Manufacturing,False,,False,,,Rep_1
L1257,2024-11-04,SMB,EMEA,Outbound,Manufacturing,False,,False,,,Rep_8
L1258,2024-02-28,Mid-Market,EMEA,Partner,Public Sector,True,2024-03-20,True,2024-08-24,83000.0,Rep_11
L1259,2024-03-28,SMB,AMER,Event,Public Sector,False,,False,,,Rep_4
L1260,2023-10-01,Enterprise,EMEA,Partner,Healthcare,False,,False,,,Rep_5
L1261,2024-03-24,Mid-Market,APAC,Outbound,Professional Services,False,,False,,,Rep_8
L1262,2023-05-05,Mid-Market,APAC,Outbound,Manufacturing,True,2023-05-30,False,2023-08-29,,Rep_12
L1263,2023-06-12,Mid-Market,APAC,Partner,Healthcare,False,,False,,,Rep_1
L1264,2024-07-19,SMB,AMER,Event,Public Sector,False,,False,,,Rep_4
L1265,2023-04-27,Mid-Market,AMER,Inbound,Public Sector,False,,False,,,Rep_2
L1266,2024-10-25,Mid-Market,APAC,Partner,Professional Services,False,,False,,,Rep_8
L1267,2023-10-26,Enterprise,EMEA,Inbound,Public Sector,False,,False,,,Rep_5
L1268,2024-03-01,SMB,EMEA,Event,Healthcare,False,,False,,,Rep_8
L1269,2023-09-07,Mid-Market,EMEA,Partner,Public Sector,False,,False,,,Rep_3
L1270,2024-01-28,Mid-Market,AMER,Partner,Manufacturing,True,2024-02-21,False,2024-04-25,,Rep_2
L1271,2023-10-10,Mid-Market,APAC,Outbound,Education,False,,False,,,Rep_7
L1272,2023-12-15,SMB,EMEA,Outbound,Manufacturing,False,,False,,,Rep_9
L1273,2023-10-01,Enterprise,AMER,Partner,Professional Services,False,,False,,,Rep_5
L1274,2023-11-02,Mid-Market,EMEA,Outbound,Manufacturing,False,,False,,,Rep_10
L1275,2024-11-06,Enterprise,EMEA,Event,Education,False,,False,,,Rep_3
L1276,2024-04-02,Enterprise,APAC,Event,Professional Services,False,,False,,,Rep_6
L1277,2023-12-07,Mid-Market,AMER,Outbound,Healthcare,False,,False,,,Rep_9
L1278,2024-01-22,SMB,APAC,Event,Professional Services,False,,False,,,Rep_6
L1279,2023-07-13,SMB,EMEA,Inbound,Manufacturing,False,,False,,,Rep_4
L1280,2024-08-08,Mid-Market,APAC,Partner,Education,False,,False,,,Rep_7
L1281,2023-02-14,SMB,EMEA,Partner,Education,False,,False,,,Rep_8
L1282,2024-12-23,Enterprise,EMEA,Event,Professional Services,False,,False,,,Rep_7
L1283,2024-01-31,SMB,AMER,Event,Manufacturing,False,,False,,,Rep_11
L1284,2023-06-05,SMB,EMEA,Outbound,Education,False,,False,,,Rep_1
L1285,2023-05-10,Mid-Market,APAC,Event,Professional Services,False,,False,,,Rep_10
L1286,2023-12-06,Enterprise,APAC,Inbound,Education,False,,False,,,Rep_8
L1287,2023-04-13,Enterprise,EMEA,Partner,Healthcare,False,,False,,,Rep_8
L1288,2023-01-16,SMB,AMER,Outbound,Public Sector,False,,False,,,Rep_7
L1289,2024-11-01,SMB,APAC,Outbound,Professional Services,False,,False,,,Rep_2
L1290,2024-04-25,Mid-Market,APAC,Event,Healthcare,False,,False,,,Rep_5
L1291,2023-12-13,SMB,AMER,Event,Public Sector,False,,False,,,Rep_7
L1292,2024-10-27,Mid-Market,APAC,Event,Professional Services,True,2024-11-11,False,2025-04-26,,Rep_7
L1293,2023-11-21,SMB,EMEA,Outbound,Manufacturing,False,,False,,,Rep_8
L1294,2024-07-08,SMB,EMEA,Outbound,Manufacturing,True,2024-07-15,True,2024-10-26,14000.0,Rep_4
L1295,2023-04-03,Mid-Market,EMEA,Event,Professional Services,False,,False,,,Rep_2
L1296,2024-10-10,SMB,APAC,Inbound,Manufacturing,False,,False,,,Rep_2
