customer_id,segment,region,industry,cohort,arr_eur,churned,nps_score,support_tickets_6m,last_login_days_ago
C2061,Mid-Market,AMER,Manufacturing,2022-Q1,47000.0,False,7,7,44
C2062,Mid-Market,EMEA,Manufacturing,2022-Q4,36000.0,False,6,1,171
C2063,SMB,EMEA,Education,2022-Q3,10000.0,False,8,7,55
C2064,SMB,AMER,Healthcare,2023-Q3,14000.0,False,9,1,7
C2065,SMB,APAC,Education,2023-Q1,9000.0,False,4,3,110
C2066,Enterprise,EMEA,Education,2023-Q4,95000.0,False,6,6,21
C2067,SMB,EMEA,Healthcare,2022-Q2,11000.0,False,0,1,154
C2068,Enterprise,APAC,Healthcare,2023-Q1,102000.0,False,5,11,121
C2069,Mid-Market,EMEA,Healthcare,2023-Q3,55000.0,False,9,7,161
C2070,Mid-Market,AMER,Manufacturing,2022-Q4,45000.0,False,1,8,23
C2071,SMB,EMEA,Professional Services,2023-Q2,10000.0,False,0,1,168
C2072,Enterprise,APAC,Manufacturing,2023-Q3,130000.0,False,0,3,153
C2073,Mid-Market,APAC,Public Sector,2023-Q3,26000.0,False,1,5,151
C2074,Enterprise,EMEA,Manufacturing,2022-Q2,130000.0,False,3,2,30
C2075,SMB,AMER,Public Sector,2022-Q3,12000.0,True,6,2,169
C2076,SMB,AMER,Public Sector,2022-Q2,12000.0,False,6,10,124
C2077,SMB,EMEA,Public Sector,2022-Q4,10000.0,False,3,0,120
C2078,Mid-Market,AMER,Public Sector,2023-Q2,23000.0,False,10,3,68
C2079,SMB,AMER,Healthcare,2022-Q2,11000.0,False,0,2,11
C2080,SMB,EMEA,Manufacturing,2022-Q2,14000.0,False,3,11,161
C2081,SMB,AMER,Healthcare,2022-Q1,13000.0,False,7,13,47
C2082,Enterprise,EMEA,Manufacturing,2022-Q3,191000.0,False,7,5,20
C2083,SMB,AMER,Healthcare,2022-Q3,10000.0,False,2,1,162
C2084,Mid-Market,AMER,Public Sector,2022-Q1,69000.0,False,5,1,145
C2085,Enterprise,EMEA,Education,2023-Q2,103000.0,False,3,12,49
C2086,Enterprise,AMER,Education,2023-Q2,73000.0,False,0,4,177
C2087,Mid-Market,EMEA,Education,2022-Q2,40000.0,False,8,2,59
C2088,Mid-Market,APAC,Healthcare,2022-Q1,41000.0,True,0,7,168
C2089,SMB,APAC,Healthcare,2023-Q4,13000.0,False,0,1,146
C2090,Enterprise,APAC,Healthcare,2023-Q2,126000.0,False,4,7,84
C2091,SMB,AMER,Professional Services,2022-Q4,12000.0,False,8,2,75
C2092,SMB,APAC,Healthcare,2023-Q2,12000.0,False,8,2,84
C2093,SMB,APAC,Public Sector,2023-Q1,11000.0,False,2,6,45
C2094,Mid-Market,APAC,Public Sector,2023-Q1,44000.0,False,8,5,28
C2095,Mid-Market,AMER,Healthcare,2022-Q3,33000.0,True,9,11,347
C2096,SMB,APAC,Professional Services,2022-Q4,12000.0,False,6,10,57
C2097,Enterprise,EMEA,Public Sector,2022-Q4,80000.0,False,3,0,47
C2098,Enterprise,APAC,Manufacturing,2023-Q1,74000.0,False,2,13,139
C2099,Mid-Market,EMEA,Healthcare,2023-Q2,56000.0,False,5,0,109
C2100,SMB,EMEA,Healthcare,2023-Q2,10000.0,True,10,9,214
C2101,Mid-Market,AMER,Education,2022-Q3,38000.0,False,4,4,170
C2102,Mid-Market,EMEA,Education,2022-Q3,45000.0,False,8,12,59
C2103,SMB,APAC,Manufacturing,2022-Q4,9000.0,False,6,9,98
C2104,Mid-Market,APAC,Healthcare,2022-Q3,42000.0,False,4,2,129
C2105,SMB,AMER,Public Sector,2023-Q4,13000.0,True,1,7,309
C2106,Mid-Market,EMEA,Healthcare,2023-Q3,36000.0,False,0,5,147
C2107,Enterprise,AMER,Manufacturing,2022-Q3,118000.0,False,4,6,5
C2108,SMB,EMEA,Manufacturing,2022-Q4,11000.0,False,5,2,154
C2109,SMB,EMEA,Manufacturing,2022-Q4,11000.0,False,10,10,179
C2110,SMB,APAC,Education,2022-Q3,10000.0,False,3,2,48
C2111,SMB,AMER,Education,2023-Q4,13000.0,True,6,5,230
C2112,SMB,EMEA,Manufacturing,2022-Q2,9000.0,False,1,7,30
C2113,SMB,AMER,Public Sector,2023-Q3,12000.0,False,2,1,174
C2114,Mid-Market,APAC,Healthcare,2022-Q4,34000.0,False,2,12,173
C2115,SMB,AMER,Professional Services,2023-Q1,10000.0,False,6,11,144
C2116,Mid-Market,APAC,Manufacturing,2022-Q2,40000.0,False,1,7,120
C2117,Mid-Market,EMEA,Education,2022-Q3,38000.0,True,4,2,112
C2118,Mid-Market,AMER,Healthcare,2022-Q1,6000.0,False,9,3,160
C2119,Mid-Market,EMEA,Manufacturing,2022-Q2,49000.0,False,3,6,8
C2120,Mid-Market,EMEA,Public Sector,2023-Q3,49000.0,False,8,14,93
C2121,Enterprise,EMEA,Healthcare,2023-Q4,137000.0,False,5,8,64
C2122,Mid-Market,APAC,Professional Services,2022-Q3,40000.0,False,8,11,100
C2123,SMB,EMEA,Professional Services,2022-Q3,12000.0,True,4,6,277
C2124,SMB,APAC,Education,2022-Q4,14000.0,False,9,4,13
C2125,Enterprise,AMER,Public Sector,2023-Q4,78000.0,False,4,4,48
C2126,Mid-Market,AMER,Manufacturing,2023-Q4,25000.0,False,1,11,105
C2127,Enterprise,EMEA,Manufacturing,2022-Q1,117000.0,False,8,5,100
C2128,SMB,APAC,Healthcare,2023-Q1,10000.0,False,7,1,3
C2129,Mid-Market,APAC,Manufacturing,2022-Q4,38000.0,False,4,12,57
C2130,SMB,AMER,Education,2023-Q2,11000.0,False,4,4,102
C2131,Mid-Market,EMEA,Manufacturing,2023-Q2,43000.0,False,3,8,122
C2132,Mid-Market,AMER,Healthcare,2023-Q2,39000.0,True,0,10,240
C2133,Enterprise,APAC,Healthcare,2023-Q3,103000.0,False,9,8,126
C2134,SMB,APAC,Manufacturing,2023-Q4,7000.0,True,6,8,219
C2135,SMB,APAC,Education,2022-Q1,10000.0,False,7,8,157
C2136,Mid-Market,AMER,Public Sector,2022-Q4,34000.0,False,9,6,133
C2137,Mid-Market,AMER,Healthcare,2022-Q4,43000.0,False,10,6,106
C2138,SMB,EMEA,Education,2022-Q1,15000.0,True,10,7,127
C2139,Mid-Market,EMEA,Public Sector,2022-Q4,48000.0,False,5,13,26
C2140,Enterprise,AMER,Public Sector,2023-Q1,122000.0,False,7,1,166
C2141,Mid-Market,AMER,Professional Services,2023-Q3,40000.0,True,5,13,261
C2142,Enterprise,EMEA,Public Sector,2023-Q3,122000.0,False,10,10,77
C2143,Mid-Market,APAC,Professional Services,2023-Q3,46000.0,False,2,9,134
C2144,Enterprise,APAC,Manufacturing,2022-Q3,61000.0,False,0,4,80
C2145,SMB,APAC,Public Sector,2023-Q3,9000.0,False,0,10,84
C2146,SMB,AMER,Healthcare,2023-Q2,14000.0,False,4,4,156
C2147,Mid-Market,EMEA,Education,2022-Q3,26000.0,False,10,2,108
C2148,SMB,EMEA,Manufacturing,2022-Q2,7000.0,False,6,3,148
C2149,SMB,EMEA,Healthcare,2022-Q3,13000.0,False,3,4,91
C2150,Mid-Market,APAC,Professional Services,2022-Q1,33000.0,False,3,10,41
C2151,Enterprise,APAC,Education,2022-Q2,77000.0,False,7,2,76
C2152,SMB,APAC,Professional Services,2022-Q3,8000.0,False,6,7,133
C2153,Mid-Market,AMER,Healthcare,2022-Q4,45000.0,False,6,13,68
C2154,Mid-Market,APAC,Education,2022-Q3,11000.0,False,7,3,24
C2155,Mid-Market,AMER,Public Sector,2022-Q4,46000.0,False,4,8,54
C2156,Mid-Market,APAC,Healthcare,2022-Q1,29000.0,False,2,11,76
C2157,Mid-Market,EMEA,Manufacturing,2023-Q3,64000.0,False,4,2,126
C2158,Mid-Market,EMEA,Manufacturing,2023-Q3,35000.0,False,4,6,31
C2159,SMB,AMER,Public Sector,2023-Q4,13000.0,False,9,0,68
C2160,SMB,EMEA,Public Sector,2023-Q3,13000.0,False,5,14,51
C2161,Mid-Market,APAC,Education,2022-Q1,40000.0,False,9,13,57
C2162,Mid-Market,APAC,Public Sector,2022-Q3,50000.0,False,4,14,49
C2163,SMB,AMER,Public Sector,2023-Q3,10000.0,True,3,2,102
C2164,SMB,EMEA,Healthcare,2023-Q4,15000.0,False,1,7,59
C2165,Mid-Market,AMER,Education,2023-Q2,43000.0,True,10,13,206
C2166,Mid-Market,APAC,Professional Services,2022-Q3,44000.0,False,3,7,22
C2167,SMB,EMEA,Public Sector,2023-Q1,11000.0,True,3,11,185
C2168,Mid-Market,EMEA,Public Sector,2023-Q1,57000.0,True,0,11,128
C2169,Enterprise,AMER,Healthcare,2022-Q3,90000.0,False,10,0,141
C2170,SMB,AMER,Education,2023-Q3,13000.0,False,2,7,148
C2171,Mid-Market,EMEA,Professional Services,2022-Q2,39000.0,False,8,9,169
C2172,Mid-Market,AMER,Public Sector,2022-Q1,24000.0,False,9,2,2
C2173,Mid-Market,APAC,Public Sector,2022-Q2,47000.0,False,5,5,148
C2174,SMB,AMER,Manufacturing,2022-Q4,8000.0,False,4,5,27
C2175,SMB,EMEA,Healthcare,2022-Q1,6000.0,False,1,0,83
C2176,Enterprise,EMEA,Manufacturing,2022-Q2,115000.0,False,2,7,22
C2177,SMB,EMEA,Healthcare,2023-Q2,11000.0,True,0,2,197
C2178,Mid-Market,AMER,Public Sector,2023-Q1,59000.0,False,5,9,114
C2179,SMB,EMEA,Manufacturing,2022-Q2,11000.0,False,3,8,155
C2180,Enterprise,AMER,Professional Services,2023-Q4,135000.0,False,8,3,168
C2181,SMB,APAC,Education,2023-Q1,9000.0,False,1,1,62
C2182,SMB,AMER,Professional Services,2022-Q3,15000.0,False,6,5,127
C2183,SMB,APAC,Manufacturing,2022-Q3,12000.0,True,6,13,268
C2184,SMB,AMER,Education,2023-Q2,14000.0,False,0,8,82
C2185,SMB,AMER,Healthcare,2023-Q1,14000.0,False,7,10,37
C2186,SMB,AMER,Public Sector,2022-Q2,14000.0,False,10,12,4
C2187,SMB,EMEA,Public Sector,2023-Q3,10000.0,False,1,5,38
C2188,Enterprise,APAC,Manufacturing,2023-Q1,153000.0,True,3,3,128
C2189,Enterprise,EMEA,Education,2022-Q4,113000.0,False,9,6,46
C2190,SMB,AMER,Professional Services,2023-Q4,15000.0,False,0,6,80
C2191,SMB,EMEA,Healthcare,2023-Q1,15000.0,False,6,6,158
C2192,Mid-Market,EMEA,Healthcare,2023-Q2,38000.0,False,6,14,112
C2193,Enterprise,AMER,Public Sector,2022-Q1,129000.0,False,5,13,126
C2194,Enterprise,EMEA,Professional Services,2022-Q2,115000.0,True,1,11,70
C2195,Mid-Market,APAC,Education,2023-Q3,31000.0,True,7,8,234
C2196,SMB,EMEA,Education,2022-Q1,12000.0,True,9,1,200
C2197,SMB,AMER,Public Sector,2022-Q2,11000.0,False,7,6,13
C2198,Mid-Market,EMEA,Public Sector,2022-Q1,55000.0,False,6,0,62
C2199,SMB,EMEA,Healthcare,2022-Q1,10000.0,False,9,8,120
